SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
"Health, Public Services and Care",Health and Social Care,Education & Training,All,All,Male,All,All,Manufacturing,880.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,All,Not applicable,Male,All,All,Public Administration And Defence - Compulsory Social Security,1230.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,Female,All,All,Accommodation And Food Service Activities,2870.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,All,Not applicable,All,50 and over,All,Administrative And Support Service Activities,200.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,18 and under,All,Administrative And Support Service Activities,950.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,All,Not applicable,All,18 and under,All,Education,310.0,0.0
Education and Training,All,Education & Training,All,Not applicable,All,19 - 24,All,"Professional, Scientific And Technical Activities",50.0,0.0
Preparation for Life and Work,All,All,All,Not applicable,All,19 - 24,All,Administrative And Support Service Activities,2630.0,0.0
Science and Mathematics,All,All,All,All,All,18 and under,All,Unknown,720.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,All,Not applicable,All,All,White,"Arts, Entertainment And Recreation",2670.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,All,White,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,4160.0,1.0
Preparation for Life and Work,All,All,All,All,All,All,Black / African / Caribbean / Black British,Education,730.0,0.0
Digital Technology,All,All,All,All,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,870.0,0.0
All,All,All,All,All,All,All,Asian / Asian British,Transportation And Storage,2650.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,Level 1 / Other Entry Level,All,All,All,All,Education,710.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,All,Not applicable,All,All,All,Accommodation And Food Service Activities,6450.0,1.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,Level 3 Other,Not applicable,All,All,All,Manufacturing,280.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Not applicable,All,All,All,"Arts, Entertainment And Recreation",580.0,0.0
"Health, Public Services and Care",All,Education & Training,Level 2 Other,Not applicable,All,All,All,Information And Communication,1550.0,0.0
"Arts, Media and Publishing",All,All,Level 4,All,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,200.0,0.0
Retail and Commercial Enterprise,All,All,All,Not applicable,All,All,All,Administrative And Support Service Activities,3780.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,Male,All,All,All,10080.0,1.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,All,All,All,White,All,6650.0,1.0
"Business, Administration and Law",Business Management,Education & Training,Level 3 Other,Not applicable,All,All,All,All,1520.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,Full level 2,All,All,All,All,All,7540.0,1.0
"Business, Administration and Law",Marketing and Sales,Apprenticeship,All,Standard apprenticeship,Male,All,All,Manufacturing,40.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,Not applicable,All,All,White,"Water Supply - Sewerage, Waste Management And Remediation Activities",40.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,Level 2 Other,All,All,All,All,Education,10.0,0.0
Social Sciences,Sociology and Social Policy,All,Full level 3,All,All,All,All,Other Service Activities,150.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,Not applicable,All,All,All,Real Estate Activities,90.0,0.0
All,All,Apprenticeship,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,Manufacturing,220.0,0.0
Not Applicable / Not Known,All,Traineeship,All,Not applicable,All,All,All,All,4070.0,1.0
Social Sciences,Economics,All,All,All,All,18 and under,All,All,730.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,Framework apprenticeship,All,All,All,All,40.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,All,Not applicable,All,19 - 24,All,Unknown,80.0,0.0
All,All,All,All,Framework apprenticeship,All,All,All,"Professional, Scientific And Technical Activities",220.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,All,All,19 - 24,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,210.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,All,All,All,All,Unknown,600.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,All,All,All,All,All,Other Service Activities,290.0,0.0
All,All,All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Transportation And Storage,210.0,0.0
"Construction, Planning and the Built Environment",All,All,Intermediate Apprenticeship,All,All,All,All,Manufacturing,240.0,0.0
Not Applicable / Not Known,All,Traineeship,All,All,Male,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,400.0,0.0
"Agriculture, Horticulture and Animal Care",All,All,All,Standard apprenticeship,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,80.0,0.0
Retail and Commercial Enterprise,All,Education & Training,Full level 3,Not applicable,All,All,All,"Arts, Entertainment And Recreation",170.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,Full level 2,All,All,All,All,"Arts, Entertainment And Recreation",40.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,Education & Training,Level 2 Other,All,All,All,All,"Arts, Entertainment And Recreation",30.0,0.0
"Construction, Planning and the Built Environment",All,All,Level 2 Other,All,All,All,All,Human Health And Social Work Activities,60.0,0.0
All,All,Apprenticeship,All,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",660.0,0.0
Science and Mathematics,Science,Education & Training,All,All,Female,All,All,Public Administration And Defence - Compulsory Social Security,110.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,All,Male,All,All,"Professional, Scientific And Technical Activities",400.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,All,All,White,Manufacturing,100.0,0.0
Retail and Commercial Enterprise,All,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,Manufacturing,60.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,All,All,All,All,Unknown,Unknown,300.0,0.0
Digital Technology,Digital technology (practitioners),All,Level 1 / Other Entry Level,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,230.0,0.0
"Business, Administration and Law",Administration,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,"Professional, Scientific And Technical Activities",50.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,All,470.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Standard apprenticeship,Female,All,All,Construction,60.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Information And Communication,30.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Framework apprenticeship,All,All,White,Information And Communication,c,0.0
"History, Philosophy and Theology",All,Education & Training,All,All,All,18 and under,All,Education,270.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,Not applicable,All,All,Unknown,Accommodation And Food Service Activities,50.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,All,Other ethnic group,Administrative And Support Service Activities,130.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,Not applicable,All,50 and over,All,Unknown,40.0,0.0
Education and Training,Direct Learning Support,All,All,Not applicable,All,All,Other ethnic group,Manufacturing,10.0,0.0
Retail and Commercial Enterprise,All,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,Transportation And Storage,100.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,All,All,25 - 49,All,Accommodation And Food Service Activities,290.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Financial And Insurance Activities,10.0,0.0
Education and Training,All,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Human Health And Social Work Activities,140.0,0.0
Social Sciences,Geography,Education & Training,Full level 3,Not applicable,All,All,All,Real Estate Activities,10.0,0.0
"Health, Public Services and Care",Health and Social Care,All,Level 4,Not applicable,All,All,All,Information And Communication,10.0,0.0
All,All,All,All,All,All,All,Unknown,"Water Supply - Sewerage, Waste Management And Remediation Activities",60.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Education & Training,All,All,Male,All,All,Unknown,40.0,0.0
"Business, Administration and Law",All,All,All,Not applicable,All,18 and under,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",30.0,0.0
Digital Technology,Digital technology (users),Education & Training,All,All,Female,All,All,Other Service Activities,90.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,All,All,Female,All,All,"Professional, Scientific And Technical Activities",30.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,Full level 3,All,All,All,All,Construction,20.0,0.0
Education and Training,All,Apprenticeship,All,All,All,All,Other ethnic group,All,30.0,0.0
"History, Philosophy and Theology",History,Education & Training,All,All,All,All,White,Construction,20.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,All,All,All,Unknown,Transportation And Storage,20.0,0.0
Retail and Commercial Enterprise,Not Applicable / Not Known,Education & Training,All,All,All,All,White,All,50.0,0.0
Science and Mathematics,Science,All,All,All,All,All,Asian / Asian British,Transportation And Storage,60.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,All,Male,All,All,"Professional, Scientific And Technical Activities",10.0,0.0
"Business, Administration and Law",All,Education & Training,All,Not applicable,All,25 - 49,All,"Agriculture, Forestry And Fishing",70.0,0.0
Digital Technology,Not Applicable / Not Known,Education & Training,All,All,All,18 and under,All,Education,20.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,Level 1 / Other Entry Level,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Health, Public Services and Care",All,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Construction,60.0,0.0
"History, Philosophy and Theology",Archaeology and Archaeological Sciences,Education & Training,All,Not applicable,All,19 - 24,All,Accommodation And Food Service Activities,c,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Mining And Quarrying,20.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,Standard apprenticeship,All,All,All,Mining And Quarrying,20.0,0.0
Engineering and Manufacturing Technologies,All,Education & Training,Level 4,All,All,All,All,Transportation And Storage,10.0,0.0
Digital Technology,All,All,All,Not applicable,All,18 and under,All,Construction,90.0,0.0
"Business, Administration and Law",Accounting and Finance,Apprenticeship,All,All,All,All,Asian / Asian British,Transportation And Storage,10.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,Level 1 / Other Entry Level,All,All,All,All,Transportation And Storage,20.0,0.0
"Health, Public Services and Care",Medicine and Dentistry,Education & Training,Level 2 Other,Not applicable,All,All,All,Human Health And Social Work Activities,c,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,All,All,All,All,Public Administration And Defence - Compulsory Social Security,40.0,0.0
"Health, Public Services and Care",Public Services,All,All,All,All,All,Mixed / Multiple ethnic groups,"Arts, Entertainment And Recreation",30.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,All,Not applicable,All,All,Asian / Asian British,Real Estate Activities,c,0.0
All,All,Apprenticeship,Higher (Level 5) Apprenticeship,Framework apprenticeship,All,All,All,Administrative And Support Service Activities,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,Not applicable,All,18 and under,All,Construction,20.0,0.0
Digital Technology,Not Applicable / Not Known,All,All,Not applicable,Male,All,All,"Arts, Entertainment And Recreation",20.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,Level 5,All,All,All,All,"Arts, Entertainment And Recreation",c,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,Education & Training,All,All,All,50 and over,All,Construction,10.0,0.0
"Agriculture, Horticulture and Animal Care",Not Applicable / Not Known,All,All,All,All,All,All,Accommodation And Food Service Activities,c,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,All,All,White,Information And Communication,10.0,0.0
"Health, Public Services and Care",Public Services,All,All,Standard apprenticeship,All,50 and over,All,"Arts, Entertainment And Recreation",c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Apprenticeship,All,Framework apprenticeship,All,19 - 24,All,"Professional, Scientific And Technical Activities",c,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,Intermediate Apprenticeship,All,All,All,All,Unknown,10.0,0.0
Digital Technology,Digital technology (users),All,All,Not applicable,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Apprenticeship,All,All,All,All,All,Accommodation And Food Service Activities,10.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,Not applicable,Female,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,2620.0,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,All,Male,All,All,Information And Communication,1440.0,0.0
All,All,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,Administrative And Support Service Activities,1830.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,"Arts, Entertainment And Recreation",40.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Standard apprenticeship,All,All,Unknown,Manufacturing,30.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Administrative And Support Service Activities,140.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,Level 1 ESOL,Not applicable,All,All,All,Administrative And Support Service Activities,1130.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,Full level 3,All,All,All,All,Real Estate Activities,20.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,All,All,"Arts, Entertainment And Recreation",1270.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,All,All,All,All,Administrative And Support Service Activities,530.0,0.0
Social Sciences,All,Education & Training,All,All,All,All,All,Human Health And Social Work Activities,910.0,0.0
All,All,Education & Training,All,All,All,All,All,"Arts, Entertainment And Recreation",23600.0,3.0
All,All,All,Level 2 Other,Not applicable,All,All,All,Manufacturing,9080.0,1.0
All,All,All,Full level 2,All,All,All,All,Human Health And Social Work Activities,3240.0,0.0
"Agriculture, Horticulture and Animal Care",All,All,All,Not applicable,Female,All,All,All,10350.0,1.0
"Health, Public Services and Care",All,All,All,Not applicable,All,25 - 49,All,All,79740.0,10.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,Not applicable,All,All,White,All,2100.0,0.0
All,All,All,All,All,All,All,Black / African / Caribbean / Black British,All,59950.0,8.0
"Business, Administration and Law",Business Management,Education & Training,All,All,Male,All,All,"Professional, Scientific And Technical Activities",570.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,Female,All,All,Education,170.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,Male,All,All,Administrative And Support Service Activities,30.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,All,All,18 and under,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,120.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,All,Not applicable,All,All,White,"Professional, Scientific And Technical Activities",160.0,0.0
Social Sciences,Geography,Education & Training,All,Not applicable,Male,All,All,All,530.0,0.0
"Business, Administration and Law",Administration,All,All,Standard apprenticeship,All,19 - 24,All,Real Estate Activities,200.0,0.0
All,All,Education & Training,All,All,All,All,Asian / Asian British,Real Estate Activities,460.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,Level 2 Other,Not applicable,All,All,All,Accommodation And Food Service Activities,210.0,0.0
"History, Philosophy and Theology",All,Education & Training,All,All,All,All,All,"Professional, Scientific And Technical Activities",90.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,Education & Training,All,Not applicable,All,18 and under,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,180.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,All,All,25 - 49,All,Unknown,260.0,0.0
All,All,All,All,Not applicable,All,All,Unknown,Unknown,970.0,0.0
Retail and Commercial Enterprise,All,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Manufacturing,170.0,0.0
"Business, Administration and Law",All,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Unknown,290.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,All,Not applicable,All,19 - 24,All,Unknown,180.0,0.0
Retail and Commercial Enterprise,All,Apprenticeship,All,Standard apprenticeship,All,All,Other ethnic group,Public Administration And Defence - Compulsory Social Security,20.0,0.0
"Business, Administration and Law",Business Management,All,All,All,All,25 - 49,All,"Electricity, Gas, Steam And Air Conditioning Supply",170.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,All,All,All,All,18 and under,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Business, Administration and Law",Administration,All,All,All,All,All,Asian / Asian British,Education,210.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,Standard apprenticeship,All,All,Unknown,Administrative And Support Service Activities,30.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,Standard apprenticeship,All,All,All,"Arts, Entertainment And Recreation",130.0,0.0
Science and Mathematics,All,All,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,Information And Communication,10.0,0.0
Retail and Commercial Enterprise,All,All,All,Not applicable,All,18 and under,All,Transportation And Storage,90.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,All,All,All,25 - 49,All,"Arts, Entertainment And Recreation",10.0,0.0
Education and Training,All,All,All,Not applicable,All,All,Asian / Asian British,Accommodation And Food Service Activities,70.0,0.0
"Business, Administration and Law",Law and Legal Services,Apprenticeship,All,Standard apprenticeship,Male,All,All,Public Administration And Defence - Compulsory Social Security,c,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,Financial And Insurance Activities,240.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,All,All,All,All,Asian / Asian British,Manufacturing,c,0.0
Engineering and Manufacturing Technologies,All,All,All,All,Female,All,All,Unknown,250.0,0.0
Science and Mathematics,All,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Transportation And Storage,40.0,0.0
Not Applicable / Not Known,All,All,All,All,All,All,Mixed / Multiple ethnic groups,Construction,10.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,Higher (Level 4) Apprenticeship,All,All,All,All,Education,40.0,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,All,All,All,White,"Water Supply - Sewerage, Waste Management And Remediation Activities",250.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Framework apprenticeship,Male,All,All,All,120.0,0.0
"Health, Public Services and Care",All,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,50.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,All,All,All,All,Real Estate Activities,30.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,Level 1 / Other Entry Level,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Business, Administration and Law",Accounting and Finance,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Professional, Scientific And Technical Activities",30.0,0.0
All,All,All,Other,All,All,All,All,Real Estate Activities,80.0,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,All,50 and over,All,Construction,20.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,All,All,All,All,Other ethnic group,"Arts, Entertainment And Recreation",10.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Apprenticeship,All,Framework apprenticeship,All,All,All,All,70.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,Intermediate Apprenticeship,All,All,All,All,Transportation And Storage,20.0,0.0
"History, Philosophy and Theology",Archaeology and Archaeological Sciences,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,All,c,0.0
Science and Mathematics,Not Applicable / Not Known,Education & Training,Full level 3,All,All,All,All,Accommodation And Food Service Activities,10.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,Not applicable,Female,All,All,"Agriculture, Forestry And Fishing",50.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,Level 3 Other,Not applicable,All,All,All,Education,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,All,All,All,Asian / Asian British,Education,30.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Transportation And Storage,20.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Apprenticeship,All,Standard apprenticeship,All,All,All,Accommodation And Food Service Activities,10.0,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,All,All,All,18 and under,All,Unknown,c,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Not applicable,All,50 and over,All,Real Estate Activities,20.0,0.0
Science and Mathematics,Science,All,All,All,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
All,All,All,All,Framework apprenticeship,All,All,Mixed / Multiple ethnic groups,Administrative And Support Service Activities,c,0.0
